estimate,term,conf.high,conf.low,std.error,statistic,period,Cohort,N,Outcome,Model
-124.14203015653065,PERIOD-2,-99.33076232199858,-148.95329799106273,12.659042732540081,-9.806589074655973,-2,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
307.4202281696226,PERIOD0,332.1748378040961,282.66561853514906,12.630134956425072,24.340217205140387,0,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
299.1879180850116,PERIOD1,334.71779102104335,263.6580451489798,18.127819294786477,16.504352411051308,1,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,1.Overall (N=70393),70393,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-118.48496363739953,PERIOD-2,-89.00799893317284,-147.96192834162622,15.03954406138951,-7.878228432574748,-2,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
266.2107275653196,PERIOD0,295.5487447546302,236.872710376009,14.968651169473086,17.784550160954183,0,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
266.5251060684006,PERIOD1,308.5049998530083,224.54521228379286,21.418706729174502,12.443566711960518,1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,2.Diabetic (N=55787),55787,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
-46.55220667590312,PERIOD-2,-6.141291914304901,-86.96312143750134,20.618192518002562,-2.2578219034115885,-2,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
338.6610773209649,PERIOD0,379.1944325887687,298.12772205316116,20.680663311941302,16.37573573984048,0,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
142.06529516993314,PERIOD1,202.0522232529499,82.07836708691639,30.60613794752659,4.64172563730518,1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
0,PERIOD-1,NA,NA,NA,NA,-1,3.Non-diabetic (N=14606),14606,MONTHLY_OVERALL_TOTAL_PAY,2. Random individual effect
